 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     7.721E-02 -2.060E-03     0.000E+00 0.000E+00
   37.040156      57.743509     6.739E-02 -2.789E-02     0.000E+00 0.000E+00
   37.040156      57.972842     5.807E-02 -5.165E-02     0.000E+00 0.000E+00
   37.040156      58.202175     4.918E-02 -7.173E-02     0.000E+00 0.000E+00
   37.040156      58.431509     4.034E-02 -8.704E-02     0.000E+00 0.000E+00
   37.040156      58.660842     3.108E-02 -9.699E-02     0.000E+00 0.000E+00
   37.040156      58.890175     2.101E-02 -1.015E-01     0.000E+00 0.000E+00
   37.040156      59.119509     9.911E-03 -1.011E-01     0.000E+00 0.000E+00
   37.040156      59.348842     -2.217E-03 -9.633E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -1.512E-02 -8.823E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -2.831E-02 -7.785E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -4.110E-02 -6.628E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -5.262E-02 -5.456E-02     0.000E+00 0.000E+00
   37.040156      60.495509     -6.186E-02 -4.356E-02     0.000E+00 0.000E+00
   37.040156      60.724842     -6.775E-02 -3.385E-02     0.000E+00 0.000E+00
   37.040156      60.954175     -6.927E-02 -2.564E-02     0.000E+00 0.000E+00
   150.456342      139.375520     3.664E-03 4.187E-03     0.000E+00 0.000E+00
   150.456342      139.604854     3.433E-03 6.778E-03     0.000E+00 0.000E+00
   150.456342      139.834187     2.680E-03 9.364E-03     0.000E+00 0.000E+00
   150.456342      140.063520     1.234E-03 1.156E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -9.127E-04 1.288E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -3.535E-03 1.280E-02     0.000E+00 0.000E+00
   150.456342      140.751520     -6.160E-03 1.093E-02     0.000E+00 0.000E+00
   150.456342      140.980854     -8.127E-03 7.137E-03     0.000E+00 0.000E+00
   150.456342      141.210187     -8.710E-03 1.639E-03     0.000E+00 0.000E+00
   150.456342      141.439520     -7.281E-03 -4.971E-03     0.000E+00 0.000E+00
   150.456342      141.668854     -3.479E-03 -1.178E-02     0.000E+00 0.000E+00
   150.456342      141.898187     2.658E-03 -1.768E-02     0.000E+00 0.000E+00
   150.456342      142.127520     1.063E-02 -2.160E-02     0.000E+00 0.000E+00
   150.456342      142.356854     1.952E-02 -2.267E-02     0.000E+00 0.000E+00
   150.456342      142.586187     2.809E-02 -2.043E-02     0.000E+00 0.000E+00
   150.456342      142.815520     3.501E-02 -1.498E-02     0.000E+00 0.000E+00
