 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     -8.500E-02 -7.247E-02     0.000E+00 0.000E+00
   37.040156      57.743509     -8.551E-02 -5.671E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -8.349E-02 -3.973E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -7.912E-02 -2.230E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -7.262E-02 -5.106E-03     0.000E+00 0.000E+00
   37.040156      58.660842     -6.425E-02 1.119E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -5.435E-02 2.600E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -4.331E-02 3.875E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -3.147E-02 4.890E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -1.912E-02 5.599E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -6.388E-03 5.975E-02     0.000E+00 0.000E+00
   37.040156      60.036842     6.684E-03 6.013E-02     0.000E+00 0.000E+00
   37.040156      60.266175     2.010E-02 5.743E-02     0.000E+00 0.000E+00
   37.040156      60.495509     3.380E-02 5.231E-02     0.000E+00 0.000E+00
   37.040156      60.724842     4.750E-02 4.571E-02     0.000E+00 0.000E+00
   37.040156      60.954175     6.061E-02 3.870E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -3.586E-02 3.413E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -4.206E-02 2.735E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -4.648E-02 2.017E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -4.932E-02 1.286E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -5.077E-02 5.518E-03     0.000E+00 0.000E+00
   150.456342      140.522187     -5.091E-02 -1.846E-03     0.000E+00 0.000E+00
   150.456342      140.751520     -4.973E-02 -9.223E-03     0.000E+00 0.000E+00
   150.456342      140.980854     -4.708E-02 -1.652E-02     0.000E+00 0.000E+00
   150.456342      141.210187     -4.282E-02 -2.348E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -3.688E-02 -2.972E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -2.933E-02 -3.470E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -2.050E-02 -3.786E-02     0.000E+00 0.000E+00
   150.456342      142.127520     -1.093E-02 -3.871E-02     0.000E+00 0.000E+00
   150.456342      142.356854     -1.373E-03 -3.698E-02     0.000E+00 0.000E+00
   150.456342      142.586187     7.306E-03 -3.264E-02     0.000E+00 0.000E+00
   150.456342      142.815520     1.426E-02 -2.601E-02     0.000E+00 0.000E+00
