 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     -7.077E-02 -8.955E-02     0.000E+00 0.000E+00
   37.040156      57.743509     -7.550E-02 -7.492E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -7.815E-02 -5.863E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -7.870E-02 -4.154E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -7.711E-02 -2.441E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -7.342E-02 -7.968E-03     0.000E+00 0.000E+00
   37.040156      58.890175     -6.773E-02 7.166E-03     0.000E+00 0.000E+00
   37.040156      59.119509     -6.020E-02 2.041E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -5.097E-02 3.127E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -4.016E-02 3.937E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -2.786E-02 4.457E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -1.415E-02 4.697E-02     0.000E+00 0.000E+00
   37.040156      60.266175     7.832E-04 4.700E-02     0.000E+00 0.000E+00
   37.040156      60.495509     1.658E-02 4.535E-02     0.000E+00 0.000E+00
   37.040156      60.724842     3.257E-02 4.288E-02     0.000E+00 0.000E+00
   37.040156      60.954175     4.775E-02 4.047E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -3.368E-02 3.639E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -4.058E-02 2.974E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -4.574E-02 2.254E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -4.929E-02 1.505E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -5.134E-02 7.401E-03     0.000E+00 0.000E+00
   150.456342      140.522187     -5.193E-02 -3.669E-04     0.000E+00 0.000E+00
   150.456342      140.751520     -5.100E-02 -8.206E-03     0.000E+00 0.000E+00
   150.456342      140.980854     -4.839E-02 -1.598E-02     0.000E+00 0.000E+00
   150.456342      141.210187     -4.396E-02 -2.339E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -3.766E-02 -3.002E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -2.959E-02 -3.528E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -2.013E-02 -3.862E-02     0.000E+00 0.000E+00
   150.456342      142.127520     -9.882E-03 -3.954E-02     0.000E+00 0.000E+00
   150.456342      142.356854     3.209E-04 -3.777E-02     0.000E+00 0.000E+00
   150.456342      142.586187     9.558E-03 -3.331E-02     0.000E+00 0.000E+00
   150.456342      142.815520     1.693E-02 -2.654E-02     0.000E+00 0.000E+00
