 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     7.159E-02 -2.155E-02     0.000E+00 0.000E+00
   37.040156      57.743509     5.506E-02 -4.237E-02     0.000E+00 0.000E+00
   37.040156      57.972842     3.951E-02 -6.202E-02     0.000E+00 0.000E+00
   37.040156      58.202175     2.563E-02 -7.902E-02     0.000E+00 0.000E+00
   37.040156      58.431509     1.370E-02 -9.208E-02     0.000E+00 0.000E+00
   37.040156      58.660842     3.638E-03 -1.003E-01     0.000E+00 0.000E+00
   37.040156      58.890175     -4.847E-03 -1.032E-01     0.000E+00 0.000E+00
   37.040156      59.119509     -1.215E-02 -1.008E-01     0.000E+00 0.000E+00
   37.040156      59.348842     -1.867E-02 -9.337E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -2.477E-02 -8.172E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -3.071E-02 -6.687E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -3.659E-02 -5.007E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -4.233E-02 -3.274E-02     0.000E+00 0.000E+00
   37.040156      60.495509     -4.757E-02 -1.632E-02     0.000E+00 0.000E+00
   37.040156      60.724842     -5.169E-02 -2.124E-03     0.000E+00 0.000E+00
   37.040156      60.954175     -5.383E-02 8.811E-03     0.000E+00 0.000E+00
   150.456342      139.375520     -2.350E-03 2.129E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -4.206E-03 2.217E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -6.252E-03 2.240E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -8.559E-03 2.175E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -1.107E-02 1.992E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -1.354E-02 1.663E-02     0.000E+00 0.000E+00
   150.456342      140.751520     -1.551E-02 1.171E-02     0.000E+00 0.000E+00
   150.456342      140.980854     -1.642E-02 5.255E-03     0.000E+00 0.000E+00
   150.456342      141.210187     -1.564E-02 -2.358E-03     0.000E+00 0.000E+00
   150.456342      141.439520     -1.271E-02 -1.042E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -7.421E-03 -1.798E-02     0.000E+00 0.000E+00
   150.456342      141.898187     5.670E-05 -2.397E-02     0.000E+00 0.000E+00
   150.456342      142.127520     9.123E-03 -2.742E-02     0.000E+00 0.000E+00
   150.456342      142.356854     1.881E-02 -2.761E-02     0.000E+00 0.000E+00
   150.456342      142.586187     2.789E-02 -2.427E-02     0.000E+00 0.000E+00
   150.456342      142.815520     3.510E-02 -1.766E-02     0.000E+00 0.000E+00
