 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     -3.058E-02 -1.087E-01     0.000E+00 0.000E+00
   37.040156      57.743509     -4.718E-02 -9.897E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -6.274E-02 -8.746E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -7.640E-02 -7.491E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -8.736E-02 -6.191E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -9.498E-02 -4.887E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -9.877E-02 -3.609E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -9.848E-02 -2.376E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -9.400E-02 -1.199E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -8.546E-02 -7.505E-04     0.000E+00 0.000E+00
   37.040156      59.807509     -7.321E-02 1.008E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -5.789E-02 2.074E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -4.045E-02 3.148E-02     0.000E+00 0.000E+00
   37.040156      60.495509     -2.213E-02 4.244E-02     0.000E+00 0.000E+00
   37.040156      60.724842     -4.395E-03 5.357E-02     0.000E+00 0.000E+00
   37.040156      60.954175     1.118E-02 6.446E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -2.244E-02 4.110E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -2.993E-02 3.525E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -3.616E-02 2.848E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -4.109E-02 2.103E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -4.467E-02 1.305E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -4.675E-02 4.625E-03     0.000E+00 0.000E+00
   150.456342      140.751520     -4.712E-02 -4.116E-03     0.000E+00 0.000E+00
   150.456342      140.980854     -4.550E-02 -1.293E-02     0.000E+00 0.000E+00
   150.456342      141.210187     -4.164E-02 -2.141E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -3.544E-02 -2.899E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -2.704E-02 -3.501E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -1.684E-02 -3.879E-02     0.000E+00 0.000E+00
   150.456342      142.127520     -5.580E-03 -3.980E-02     0.000E+00 0.000E+00
   150.456342      142.356854     5.792E-03 -3.776E-02     0.000E+00 0.000E+00
   150.456342      142.586187     1.618E-02 -3.275E-02     0.000E+00 0.000E+00
   150.456342      142.815520     2.454E-02 -2.524E-02     0.000E+00 0.000E+00
