 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     4.783E-02 -4.540E-02     0.000E+00 0.000E+00
   37.040156      57.743509     2.731E-02 -5.676E-02     0.000E+00 0.000E+00
   37.040156      57.972842     7.777E-03 -6.749E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -9.523E-03 -7.668E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -2.376E-02 -8.339E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -3.451E-02 -8.679E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -4.172E-02 -8.627E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -4.562E-02 -8.151E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -4.667E-02 -7.250E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -4.551E-02 -5.956E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -4.286E-02 -4.330E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -3.950E-02 -2.465E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -3.615E-02 -4.860E-03     0.000E+00 0.000E+00
   37.040156      60.495509     -3.332E-02 1.463E-02     0.000E+00 0.000E+00
   37.040156      60.724842     -3.127E-02 3.221E-02     0.000E+00 0.000E+00
   37.040156      60.954175     -2.982E-02 4.633E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -6.842E-03 3.414E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -1.051E-02 3.267E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -1.404E-02 3.017E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -1.741E-02 2.659E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -2.053E-02 2.183E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -2.313E-02 1.581E-02     0.000E+00 0.000E+00
   150.456342      140.751520     -2.479E-02 8.532E-03     0.000E+00 0.000E+00
   150.456342      140.980854     -2.502E-02 2.248E-04     0.000E+00 0.000E+00
   150.456342      141.210187     -2.331E-02 -8.631E-03     0.000E+00 0.000E+00
   150.456342      141.439520     -1.930E-02 -1.730E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -1.290E-02 -2.487E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -4.399E-03 -3.037E-02     0.000E+00 0.000E+00
   150.456342      142.127520     5.546E-03 -3.297E-02     0.000E+00 0.000E+00
   150.456342      142.356854     1.594E-02 -3.212E-02     0.000E+00 0.000E+00
   150.456342      142.586187     2.560E-02 -2.773E-02     0.000E+00 0.000E+00
   150.456342      142.815520     3.331E-02 -2.018E-02     0.000E+00 0.000E+00
