 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     -9.879E-02 -5.293E-02     0.000E+00 0.000E+00
   37.040156      57.743509     -9.549E-02 -3.619E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -8.926E-02 -1.882E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -8.044E-02 -1.468E-03     0.000E+00 0.000E+00
   37.040156      58.431509     -6.940E-02 1.527E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -5.661E-02 3.086E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -4.263E-02 4.482E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -2.805E-02 5.665E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -1.346E-02 6.586E-02     0.000E+00 0.000E+00
   37.040156      59.578175     6.693E-04 7.195E-02     0.000E+00 0.000E+00
   37.040156      59.807509     1.406E-02 7.455E-02     0.000E+00 0.000E+00
   37.040156      60.036842     2.665E-02 7.348E-02     0.000E+00 0.000E+00
   37.040156      60.266175     3.852E-02 6.884E-02     0.000E+00 0.000E+00
   37.040156      60.495509     4.985E-02 6.116E-02     0.000E+00 0.000E+00
   37.040156      60.724842     6.071E-02 5.130E-02     0.000E+00 0.000E+00
   37.040156      60.954175     7.095E-02 4.044E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -3.681E-02 3.134E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -4.214E-02 2.447E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -4.572E-02 1.739E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -4.784E-02 1.036E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -4.874E-02 3.433E-03     0.000E+00 0.000E+00
   150.456342      140.522187     -4.856E-02 -3.409E-03     0.000E+00 0.000E+00
   150.456342      140.751520     -4.727E-02 -1.021E-02     0.000E+00 0.000E+00
   150.456342      140.980854     -4.477E-02 -1.692E-02     0.000E+00 0.000E+00
   150.456342      141.210187     -4.088E-02 -2.334E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -3.549E-02 -2.911E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -2.864E-02 -3.372E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -2.056E-02 -3.664E-02     0.000E+00 0.000E+00
   150.456342      142.127520     -1.174E-02 -3.737E-02     0.000E+00 0.000E+00
   150.456342      142.356854     -2.869E-03 -3.562E-02     0.000E+00 0.000E+00
   150.456342      142.586187     5.260E-03 -3.135E-02     0.000E+00 0.000E+00
   150.456342      142.815520     1.185E-02 -2.482E-02     0.000E+00 0.000E+00
