 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     3.168E-02 -6.019E-02     0.000E+00 0.000E+00
   37.040156      57.743509     1.021E-02 -6.624E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -1.033E-02 -7.165E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -2.858E-02 -7.590E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -4.353E-02 -7.834E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -5.456E-02 -7.833E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -6.141E-02 -7.535E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -6.418E-02 -6.904E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -6.323E-02 -5.928E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -5.919E-02 -4.618E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -5.287E-02 -3.011E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -4.523E-02 -1.175E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -3.728E-02 7.950E-03     0.000E+00 0.000E+00
   37.040156      60.495509     -2.993E-02 2.772E-02     0.000E+00 0.000E+00
   37.040156      60.724842     -2.387E-02 4.606E-02     0.000E+00 0.000E+00
   37.040156      60.954175     -1.941E-02 6.136E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -9.071E-03 3.823E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -1.371E-02 3.558E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -1.802E-02 3.181E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -2.196E-02 2.698E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -2.539E-02 2.106E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -2.808E-02 1.403E-02     0.000E+00 0.000E+00
   150.456342      140.751520     -2.963E-02 5.964E-03     0.000E+00 0.000E+00
   150.456342      140.980854     -2.956E-02 -2.868E-03     0.000E+00 0.000E+00
   150.456342      141.210187     -2.744E-02 -1.198E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -2.295E-02 -2.064E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -1.606E-02 -2.798E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -7.100E-03 -3.310E-02     0.000E+00 0.000E+00
   150.456342      142.127520     3.252E-03 -3.523E-02     0.000E+00 0.000E+00
   150.456342      142.356854     1.400E-02 -3.392E-02     0.000E+00 0.000E+00
   150.456342      142.586187     2.395E-02 -2.913E-02     0.000E+00 0.000E+00
   150.456342      142.815520     3.194E-02 -2.130E-02     0.000E+00 0.000E+00
