 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     -5.698E-02 -1.022E-01     0.000E+00 0.000E+00
   37.040156      57.743509     -6.605E-02 -8.884E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -7.346E-02 -7.359E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -7.892E-02 -5.734E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -8.216E-02 -4.087E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -8.295E-02 -2.488E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -8.115E-02 -9.949E-03     0.000E+00 0.000E+00
   37.040156      59.119509     -7.672E-02 3.401E-03     0.000E+00 0.000E+00
   37.040156      59.348842     -6.965E-02 1.478E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -5.998E-02 2.395E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -4.782E-02 3.088E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -3.340E-02 3.580E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -1.712E-02 3.917E-02     0.000E+00 0.000E+00
   37.040156      60.495509     2.971E-04 4.162E-02     0.000E+00 0.000E+00
   37.040156      60.724842     1.784E-02 4.381E-02     0.000E+00 0.000E+00
   37.040156      60.954175     3.417E-02 4.625E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -3.047E-02 3.826E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -3.786E-02 3.180E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -4.361E-02 2.464E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -4.778E-02 1.706E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -5.044E-02 9.200E-03     0.000E+00 0.000E+00
   150.456342      140.522187     -5.154E-02 1.121E-03     0.000E+00 0.000E+00
   150.456342      140.751520     -5.099E-02 -7.093E-03     0.000E+00 0.000E+00
   150.456342      140.980854     -4.859E-02 -1.526E-02     0.000E+00 0.000E+00
   150.456342      141.210187     -4.419E-02 -2.307E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -3.773E-02 -3.002E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -2.934E-02 -3.553E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -1.943E-02 -3.901E-02     0.000E+00 0.000E+00
   150.456342      142.127520     -8.653E-03 -3.995E-02     0.000E+00 0.000E+00
   150.456342      142.356854     2.099E-03 -3.809E-02     0.000E+00 0.000E+00
   150.456342      142.586187     1.184E-02 -3.347E-02     0.000E+00 0.000E+00
   150.456342      142.815520     1.963E-02 -2.649E-02     0.000E+00 0.000E+00
