 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     6.162E-02 -3.249E-02     0.000E+00 0.000E+00
   37.040156      57.743509     4.276E-02 -4.894E-02     0.000E+00 0.000E+00
   37.040156      57.972842     2.491E-02 -6.458E-02     0.000E+00 0.000E+00
   37.040156      58.202175     9.103E-03 -7.816E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -4.096E-03 -8.851E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -1.451E-02 -9.472E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -2.226E-02 -9.619E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -2.771E-02 -9.272E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -3.132E-02 -8.447E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -3.365E-02 -7.198E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -3.523E-02 -5.609E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -3.655E-02 -3.796E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -3.793E-02 -1.896E-02     0.000E+00 0.000E+00
   37.040156      60.495509     -3.947E-02 -6.395E-04     0.000E+00 0.000E+00
   37.040156      60.724842     -4.095E-02 1.549E-02     0.000E+00 0.000E+00
   37.040156      60.954175     -4.179E-02 2.806E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -4.696E-03 2.843E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -7.427E-03 2.818E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -1.019E-02 2.704E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -1.301E-02 2.488E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -1.580E-02 2.152E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -1.830E-02 1.676E-02     0.000E+00 0.000E+00
   150.456342      140.751520     -2.010E-02 1.054E-02     0.000E+00 0.000E+00
   150.456342      140.980854     -2.063E-02 3.031E-03     0.000E+00 0.000E+00
   150.456342      141.210187     -1.936E-02 -5.328E-03     0.000E+00 0.000E+00
   150.456342      141.439520     -1.585E-02 -1.381E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -9.978E-03 -2.146E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -1.966E-03 -2.727E-02     0.000E+00 0.000E+00
   150.456342      142.127520     7.554E-03 -3.032E-02     0.000E+00 0.000E+00
   150.456342      142.356854     1.760E-02 -2.999E-02     0.000E+00 0.000E+00
   150.456342      142.586187     2.695E-02 -2.609E-02     0.000E+00 0.000E+00
   150.456342      142.815520     3.440E-02 -1.896E-02     0.000E+00 0.000E+00
