 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     -4.375E-02 -1.088E-01     0.000E+00 0.000E+00
   37.040156      57.743509     -5.689E-02 -9.704E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -6.872E-02 -8.332E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -7.868E-02 -6.853E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -8.621E-02 -5.340E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -9.086E-02 -3.852E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -9.229E-02 -2.437E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -9.029E-02 -1.131E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -8.479E-02 3.815E-04     0.000E+00 0.000E+00
   37.040156      59.578175     -7.583E-02 1.062E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -6.362E-02 1.949E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -4.857E-02 2.724E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -3.136E-02 3.430E-02     0.000E+00 0.000E+00
   37.040156      60.495509     -1.302E-02 4.110E-02     0.000E+00 0.000E+00
   37.040156      60.724842     5.146E-03 4.797E-02     0.000E+00 0.000E+00
   37.040156      60.954175     2.162E-02 5.500E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -2.659E-02 3.985E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -3.418E-02 3.363E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -4.030E-02 2.661E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -4.496E-02 1.903E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -4.814E-02 1.105E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -4.976E-02 2.747E-03     0.000E+00 0.000E+00
   150.456342      140.751520     -4.966E-02 -5.770E-03     0.000E+00 0.000E+00
   150.456342      140.980854     -4.762E-02 -1.429E-02     0.000E+00 0.000E+00
   150.456342      141.210187     -4.342E-02 -2.244E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -3.700E-02 -2.971E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -2.851E-02 -3.546E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -1.835E-02 -3.907E-02     0.000E+00 0.000E+00
   150.456342      142.127520     -7.231E-03 -4.003E-02     0.000E+00 0.000E+00
   150.456342      142.356854     3.920E-03 -3.806E-02     0.000E+00 0.000E+00
   150.456342      142.586187     1.406E-02 -3.324E-02     0.000E+00 0.000E+00
   150.456342      142.815520     2.219E-02 -2.600E-02     0.000E+00 0.000E+00
