 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     -1.591E-03 -9.057E-02     0.000E+00 0.000E+00
   37.040156      57.743509     -2.251E-02 -8.715E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -4.257E-02 -8.260E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -6.050E-02 -7.715E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -7.522E-02 -7.084E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -8.591E-02 -6.356E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -9.207E-02 -5.515E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -9.350E-02 -4.545E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -9.029E-02 -3.431E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -8.285E-02 -2.165E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -7.187E-02 -7.447E-03     0.000E+00 0.000E+00
   37.040156      60.036842     -5.832E-02 8.200E-03     0.000E+00 0.000E+00
   37.040156      60.266175     -4.341E-02 2.498E-02     0.000E+00 0.000E+00
   37.040156      60.495509     -2.852E-02 4.229E-02     0.000E+00 0.000E+00
   37.040156      60.724842     -1.500E-02 5.923E-02     0.000E+00 0.000E+00
   37.040156      60.954175     -4.004E-03 7.456E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -1.475E-02 4.185E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -2.118E-02 3.722E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -2.683E-02 3.150E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -3.163E-02 2.488E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -3.547E-02 1.743E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -3.811E-02 9.227E-03     0.000E+00 0.000E+00
   150.456342      140.751520     -3.925E-02 4.106E-04     0.000E+00 0.000E+00
   150.456342      140.980854     -3.849E-02 -8.741E-03     0.000E+00 0.000E+00
   150.456342      141.210187     -3.550E-02 -1.776E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -3.009E-02 -2.599E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -2.230E-02 -3.265E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -1.253E-02 -3.699E-02     0.000E+00 0.000E+00
   150.456342      142.127520     -1.502E-03 -3.837E-02     0.000E+00 0.000E+00
   150.456342      142.356854     9.791E-03 -3.644E-02     0.000E+00 0.000E+00
   150.456342      142.586187     2.020E-02 -3.127E-02     0.000E+00 0.000E+00
   150.456342      142.815520     2.860E-02 -2.336E-02     0.000E+00 0.000E+00
