 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     1.477E-02 -7.585E-02     0.000E+00 0.000E+00
   37.040156      57.743509     -6.867E-03 -7.685E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -2.763E-02 -7.702E-02     0.000E+00 0.000E+00
   37.040156      58.202175     -4.615E-02 -7.624E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -6.133E-02 -7.420E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -7.241E-02 -7.052E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -7.899E-02 -6.481E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -8.099E-02 -5.680E-02     0.000E+00 0.000E+00
   37.040156      59.348842     -7.865E-02 -4.630E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -7.252E-02 -3.330E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -6.338E-02 -1.793E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -5.227E-02 -5.859E-04     0.000E+00 0.000E+00
   37.040156      60.266175     -4.035E-02 1.810E-02     0.000E+00 0.000E+00
   37.040156      60.495509     -2.884E-02 3.716E-02     0.000E+00 0.000E+00
   37.040156      60.724842     -1.880E-02 5.534E-02     0.000E+00 0.000E+00
   37.040156      60.954175     -1.101E-02 7.113E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -1.165E-02 4.074E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -1.724E-02 3.701E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -2.228E-02 3.216E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -2.671E-02 2.630E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -3.041E-02 1.948E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -3.313E-02 1.172E-02     0.000E+00 0.000E+00
   150.456342      140.751520     -3.451E-02 3.158E-03     0.000E+00 0.000E+00
   150.456342      140.980854     -3.413E-02 -5.943E-03     0.000E+00 0.000E+00
   150.456342      141.210187     -3.158E-02 -1.509E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -2.662E-02 -2.358E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -1.927E-02 -3.061E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -9.877E-03 -3.532E-02     0.000E+00 0.000E+00
   150.456342      142.127520     8.468E-04 -3.704E-02     0.000E+00 0.000E+00
   150.456342      142.356854     1.190E-02 -3.536E-02     0.000E+00 0.000E+00
   150.456342      142.586187     2.212E-02 -3.030E-02     0.000E+00 0.000E+00
   150.456342      142.815520     3.036E-02 -2.235E-02     0.000E+00 0.000E+00
