 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     -1.106E-01 -3.274E-02     0.000E+00 0.000E+00
   37.040156      57.743509     -1.041E-01 -1.527E-02     0.000E+00 0.000E+00
   37.040156      57.972842     -9.436E-02 2.152E-03     0.000E+00 0.000E+00
   37.040156      58.202175     -8.186E-02 1.898E-02     0.000E+00 0.000E+00
   37.040156      58.431509     -6.707E-02 3.474E-02     0.000E+00 0.000E+00
   37.040156      58.660842     -5.057E-02 4.906E-02     0.000E+00 0.000E+00
   37.040156      58.890175     -3.307E-02 6.161E-02     0.000E+00 0.000E+00
   37.040156      59.119509     -1.536E-02 7.203E-02     0.000E+00 0.000E+00
   37.040156      59.348842     1.768E-03 7.994E-02     0.000E+00 0.000E+00
   37.040156      59.578175     1.763E-02 8.492E-02     0.000E+00 0.000E+00
   37.040156      59.807509     3.176E-02 8.653E-02     0.000E+00 0.000E+00
   37.040156      60.036842     4.396E-02 8.447E-02     0.000E+00 0.000E+00
   37.040156      60.266175     5.433E-02 7.868E-02     0.000E+00 0.000E+00
   37.040156      60.495509     6.316E-02 6.944E-02     0.000E+00 0.000E+00
   37.040156      60.724842     7.082E-02 5.746E-02     0.000E+00 0.000E+00
   37.040156      60.954175     7.757E-02 4.383E-02     0.000E+00 0.000E+00
   150.456342      139.375520     -3.642E-02 2.784E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -4.080E-02 2.095E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -4.353E-02 1.407E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -4.497E-02 7.443E-03     0.000E+00 0.000E+00
   150.456342      140.292854     -4.541E-02 1.086E-03     0.000E+00 0.000E+00
   150.456342      140.522187     -4.503E-02 -5.083E-03     0.000E+00 0.000E+00
   150.456342      140.751520     -4.381E-02 -1.116E-02     0.000E+00 0.000E+00
   150.456342      140.980854     -4.162E-02 -1.715E-02     0.000E+00 0.000E+00
   150.456342      141.210187     -3.827E-02 -2.291E-02     0.000E+00 0.000E+00
   150.456342      141.439520     -3.357E-02 -2.811E-02     0.000E+00 0.000E+00
   150.456342      141.668854     -2.751E-02 -3.228E-02     0.000E+00 0.000E+00
   150.456342      141.898187     -2.025E-02 -3.489E-02     0.000E+00 0.000E+00
   150.456342      142.127520     -1.221E-02 -3.545E-02     0.000E+00 0.000E+00
   150.456342      142.356854     -3.993E-03 -3.366E-02     0.000E+00 0.000E+00
   150.456342      142.586187     3.652E-03 -2.943E-02     0.000E+00 0.000E+00
   150.456342      142.815520     9.973E-03 -2.301E-02     0.000E+00 0.000E+00
