 THETA (deg)       PHI (deg)            E_V (V/m)                 E_H (V/m)
   37.040156      57.514175     7.682E-02 -1.182E-02     0.000E+00 0.000E+00
   37.040156      57.743509     6.330E-02 -3.586E-02     0.000E+00 0.000E+00
   37.040156      57.972842     5.061E-02 -5.827E-02     0.000E+00 0.000E+00
   37.040156      58.202175     3.906E-02 -7.746E-02     0.000E+00 0.000E+00
   37.040156      58.431509     2.859E-02 -9.216E-02     0.000E+00 0.000E+00
   37.040156      58.660842     1.889E-02 -1.016E-01     0.000E+00 0.000E+00
   37.040156      58.890175     9.589E-03 -1.054E-01     0.000E+00 0.000E+00
   37.040156      59.119509     3.230E-04 -1.039E-01     0.000E+00 0.000E+00
   37.040156      59.348842     -9.147E-03 -9.761E-02     0.000E+00 0.000E+00
   37.040156      59.578175     -1.891E-02 -8.737E-02     0.000E+00 0.000E+00
   37.040156      59.807509     -2.886E-02 -7.432E-02     0.000E+00 0.000E+00
   37.040156      60.036842     -3.870E-02 -5.971E-02     0.000E+00 0.000E+00
   37.040156      60.266175     -4.793E-02 -4.483E-02     0.000E+00 0.000E+00
   37.040156      60.495509     -5.581E-02 -3.091E-02     0.000E+00 0.000E+00
   37.040156      60.724842     -6.141E-02 -1.892E-02     0.000E+00 0.000E+00
   37.040156      60.954175     -6.374E-02 -9.493E-03     0.000E+00 0.000E+00
   150.456342      139.375520     4.093E-04 1.305E-02     0.000E+00 0.000E+00
   150.456342      139.604854     -6.251E-04 1.491E-02     0.000E+00 0.000E+00
   150.456342      139.834187     -2.011E-03 1.640E-02     0.000E+00 0.000E+00
   150.456342      140.063520     -3.867E-03 1.724E-02     0.000E+00 0.000E+00
   150.456342      140.292854     -6.166E-03 1.700E-02     0.000E+00 0.000E+00
   150.456342      140.522187     -8.671E-03 1.530E-02     0.000E+00 0.000E+00
   150.456342      140.751520     -1.092E-02 1.186E-02     0.000E+00 0.000E+00
   150.456342      140.980854     -1.230E-02 6.665E-03     0.000E+00 0.000E+00
   150.456342      141.210187     -1.213E-02 2.300E-05     0.000E+00 0.000E+00
   150.456342      141.439520     -9.883E-03 -7.406E-03     0.000E+00 0.000E+00
   150.456342      141.668854     -5.269E-03 -1.468E-02     0.000E+00 0.000E+00
   150.456342      141.898187     1.595E-03 -2.071E-02     0.000E+00 0.000E+00
   150.456342      142.127520     1.016E-02 -2.445E-02     0.000E+00 0.000E+00
   150.456342      142.356854     1.946E-02 -2.511E-02     0.000E+00 0.000E+00
   150.456342      142.586187     2.829E-02 -2.234E-02     0.000E+00 0.000E+00
   150.456342      142.815520     3.533E-02 -1.631E-02     0.000E+00 0.000E+00
